,Month,DayofMonth,DayOfWeek,CRSDepTime,UniqueCarrier,Class
276,1,3,4,2105,WN,0
277,1,3,4,1215,WN,1
278,1,3,4,1235,WN,1
280,1,3,4,1945,WN,0
282,1,3,4,2040,WN,0
283,1,3,4,1520,WN,1
286,1,3,4,1655,WN,0
287,1,3,4,1100,WN,1
288,1,3,4,1905,WN,0
289,1,3,4,830,WN,1
290,1,3,4,2050,WN,1
291,1,3,4,1555,WN,1
292,1,3,4,1355,WN,1
293,1,3,4,2140,WN,0
295,1,3,4,1910,WN,0
296,1,3,4,1350,WN,0
298,1,3,4,1730,WN,0
299,1,3,4,905,WN,0
300,1,3,4,1115,WN,0
301,1,3,4,1515,WN,0
302,1,3,4,2100,WN,0
305,1,3,4,1820,WN,0
306,1,3,4,1010,WN,1
309,1,3,4,1050,WN,0
310,1,3,4,1530,WN,0
311,1,3,4,1855,WN,0
312,1,3,4,1725,WN,1
313,1,3,4,1035,WN,1
314,1,3,4,2115,WN,0
315,1,3,4,1725,WN,0
317,1,3,4,1320,WN,1
318,1,3,4,2030,WN,0
319,1,3,4,1050,WN,0
320,1,3,4,1710,WN,1
321,1,3,4,2025,WN,1
322,1,3,4,1315,WN,1
324,1,3,4,1015,WN,1
326,1,3,4,1540,WN,0
327,1,3,4,1255,WN,1
328,1,3,4,1320,WN,0
329,1,3,4,1735,WN,1
330,1,3,4,945,WN,1
332,1,3,4,1625,WN,0
334,1,3,4,1935,WN,0
335,1,3,4,1425,WN,1
336,1,3,4,1135,WN,1
337,1,3,4,1640,WN,0
338,1,3,4,855,WN,1
339,1,3,4,1740,WN,1
340,1,3,4,1015,WN,0
343,1,3,4,1845,WN,0
345,1,3,4,2100,WN,0
346,1,3,4,2140,WN,1
347,1,3,4,1955,WN,0
348,1,3,4,1335,WN,0
349,1,3,4,1310,WN,1
350,1,3,4,1125,WN,1
351,1,3,4,1835,WN,1
353,1,3,4,1625,WN,0
355,1,3,4,1240,WN,0
356,1,3,4,1445,WN,0
357,1,3,4,945,WN,1
359,1,3,4,1755,WN,1
360,1,3,4,1000,WN,0
361,1,3,4,1900,WN,1
362,1,3,4,900,WN,1
363,1,3,4,1400,WN,0
364,1,3,4,1500,WN,0
365,1,3,4,1730,WN,1
366,1,3,4,2100,WN,0
367,1,3,4,1930,WN,1
368,1,3,4,1800,WN,0
369,1,3,4,1830,WN,1
370,1,3,4,1430,WN,0
371,1,3,4,1700,WN,0
372,1,3,4,1630,WN,1
374,1,3,4,1600,WN,0
375,1,3,4,2000,WN,1
378,1,3,4,800,WN,0
379,1,3,4,1200,WN,1
381,1,3,4,1600,WN,1
382,1,3,4,1725,WN,0
385,1,3,4,1830,WN,1
386,1,3,4,1905,WN,0
387,1,3,4,1150,WN,1
388,1,3,4,2040,WN,1
389,1,3,4,1440,WN,0
390,1,3,4,1005,WN,1
391,1,3,4,920,WN,0
392,1,3,4,1335,WN,1
394,1,3,4,1720,WN,1
395,1,3,4,845,WN,0
396,1,3,4,1400,WN,0
397,1,3,4,1150,WN,0
400,1,3,4,1955,WN,0
402,1,3,4,1805,WN,0
403,1,3,4,1430,WN,1
404,1,3,4,1050,WN,1
405,1,3,4,1245,WN,0
406,1,3,4,1455,WN,1
407,1,3,4,1525,WN,0
408,1,3,4,2000,WN,1
410,1,3,4,1130,WN,1
411,1,3,4,2035,WN,1
412,1,3,4,1425,WN,1
414,1,3,4,1825,WN,1
417,1,3,4,1240,WN,1
418,1,3,4,1000,WN,0
419,1,3,4,1700,WN,1
420,1,3,4,1330,WN,1
421,1,3,4,1045,WN,0
423,1,3,4,2010,WN,1
424,1,3,4,1650,WN,0
425,1,3,4,1100,WN,0
426,1,3,4,810,WN,1
427,1,3,4,1910,WN,1
429,1,3,4,900,WN,1
430,1,3,4,2125,WN,0
431,1,3,4,1505,WN,1
432,1,3,4,1350,WN,0
433,1,3,4,1715,WN,0
434,1,3,4,2035,WN,0
435,1,3,4,1655,WN,0
436,1,3,4,1345,WN,1
437,1,3,4,1850,WN,0
440,1,3,4,1040,WN,1
441,1,3,4,2040,WN,0
443,1,3,4,1745,WN,1
446,1,3,4,1010,WN,1
447,1,3,4,1340,WN,0
448,1,3,4,1640,WN,0
450,1,3,4,1815,WN,1
451,1,3,4,1525,WN,0
455,1,3,4,1550,WN,0
457,1,3,4,1500,WN,1
458,1,3,4,1705,WN,0
459,1,3,4,1235,WN,0
460,1,3,4,1100,WN,0
461,1,3,4,1950,WN,1
463,1,3,4,1405,WN,1
464,1,3,4,1310,WN,1
465,1,3,4,1035,WN,1
467,1,3,4,1815,WN,1
469,1,3,4,1130,WN,1
471,1,3,4,1830,WN,1
472,1,3,4,1535,WN,1
473,1,3,4,1805,WN,0
474,1,3,4,1945,WN,1
475,1,3,4,915,WN,1
479,1,3,4,1450,WN,0
480,1,3,4,1730,WN,0
481,1,3,4,1850,WN,1
482,1,3,4,850,WN,0
484,1,3,4,1150,WN,0
485,1,3,4,2115,WN,1
488,1,3,4,1350,WN,0
489,1,3,4,1930,WN,0
491,1,3,4,910,WN,0
492,1,3,4,1235,WN,0
493,1,3,4,1910,WN,0
496,1,3,4,1055,WN,0
497,1,3,4,1855,WN,0
498,1,3,4,1440,WN,0
499,1,3,4,630,WN,1
500,1,3,4,1010,WN,1
501,1,3,4,1850,WN,1
502,1,3,4,1420,WN,0
504,1,3,4,1725,WN,0
505,1,3,4,655,WN,0
508,1,3,4,1720,WN,0
509,1,3,4,635,WN,0
510,1,3,4,1455,WN,1
512,1,3,4,1850,WN,0
513,1,3,4,1245,WN,1
514,1,3,4,705,WN,0
516,1,3,4,2100,WN,0
517,1,3,4,835,WN,1
518,1,3,4,1805,WN,1
519,1,3,4,1010,WN,1
526,1,3,4,1935,WN,0
